Country Name,Country Code,Indicator Code,value_2014
Arab World,ARB,UIS.AFR.NTP.1.PU.T,
Arab World,ARB,UIS.AFR.NTP.3.PU.T,
Arab World,ARB,UIS.AFR.GTCTR.2.T,
Arab World,ARB,UIS.AFR.GTCTR.2.F,
Arab World,ARB,UIS.AFR.GTCTR.2.M,
Arab World,ARB,UIS.AFR.GTCTR.1.T,
Arab World,ARB,UIS.AFR.GTCTR.1.F,
Arab World,ARB,UIS.AFR.GTCTR.1.M,
Arab World,ARB,UIS.AFR.GTCTR.3.T,
Arab World,ARB,UIS.AFR.GTCTR.3.F,
Arab World,ARB,UIS.AFR.GTCTR.3.M,
Arab World,ARB,UIS.AFR.SCHCENRESPR.1.PU,
Arab World,ARB,UIS.AFR.SCHCENRESPR.23.PU,
Arab World,ARB,UIS.AFR.TATTRR.2.PU.T,
Arab World,ARB,UIS.AFR.TATTRR.2.Pu.F,
Arab World,ARB,UIS.AFR.TATTRR.2.Pu.M,
Arab World,ARB,UIS.AFR.TATTRR.1.PU.T,
Arab World,ARB,UIS.AFR.TATTRR.1.PU.F,
Arab World,ARB,UIS.AFR.TATTRR.1.PU.M,
Arab World,ARB,UIS.AFR.TATTRR.3.Pu.T,
Arab World,ARB,UIS.AFR.TATTRR.3.Pu.F,
Arab World,ARB,UIS.AFR.TATTRR.3.Pu.M,
Arab World,ARB,UIS.XSPENDP.2.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.4.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.0.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.1.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.23.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.56.FDPUB.FNS,
Arab World,ARB,UIS.XSPENDP.3.FDPUB.FNS,
Arab World,ARB,OECD.TSAL.2.E10,
Arab World,ARB,OECD.TSAL.2.E15,
Arab World,ARB,OECD.TSAL.2.E0,
Arab World,ARB,OECD.TSAL.2.ETOP,
Arab World,ARB,OECD.TSAL.0.E10,
Arab World,ARB,OECD.TSAL.0.E15,
Arab World,ARB,OECD.TSAL.0.E0,
Arab World,ARB,OECD.TSAL.0.ETOP,
Arab World,ARB,OECD.TSAL.1.E10,
Arab World,ARB,OECD.TSAL.1.E15,
Arab World,ARB,OECD.TSAL.1.E0,
Arab World,ARB,OECD.TSAL.1.ETOP,
Arab World,ARB,OECD.TSAL.3.E10,
Arab World,ARB,OECD.TSAL.3.E15,
Arab World,ARB,OECD.TSAL.3.E0,
Arab World,ARB,OECD.TSAL.3.ETOP,
Arab World,ARB,BAR.PRM.SCHL.15UP.FE,
Arab World,ARB,BAR.PRM.SCHL.15UP,
Arab World,ARB,BAR.PRM.SCHL.1519.FE,
Arab World,ARB,BAR.PRM.SCHL.1519,
Arab World,ARB,BAR.PRM.SCHL.2024.FE,
Arab World,ARB,BAR.PRM.SCHL.2024,
Arab World,ARB,BAR.PRM.SCHL.25UP.FE,
Arab World,ARB,BAR.PRM.SCHL.25UP,
Arab World,ARB,BAR.PRM.SCHL.2529.FE,
Arab World,ARB,BAR.PRM.SCHL.2529,
Arab World,ARB,BAR.PRM.SCHL.3034.FE,
Arab World,ARB,BAR.PRM.SCHL.3034,
Arab World,ARB,BAR.PRM.SCHL.3539.FE,
Arab World,ARB,BAR.PRM.SCHL.3539,
Arab World,ARB,BAR.PRM.SCHL.4044.FE,
Arab World,ARB,BAR.PRM.SCHL.4044,
Arab World,ARB,BAR.PRM.SCHL.4549.FE,
Arab World,ARB,BAR.PRM.SCHL.4549,
Arab World,ARB,BAR.PRM.SCHL.5054.FE,
Arab World,ARB,BAR.PRM.SCHL.5054,
Arab World,ARB,BAR.PRM.SCHL.5559.FE,
Arab World,ARB,BAR.PRM.SCHL.5559,
Arab World,ARB,BAR.PRM.SCHL.6064.FE,
Arab World,ARB,BAR.PRM.SCHL.6064,
Arab World,ARB,BAR.PRM.SCHL.6569.FE,
Arab World,ARB,BAR.PRM.SCHL.6569,
Arab World,ARB,BAR.PRM.SCHL.7074.FE,
Arab World,ARB,BAR.PRM.SCHL.7074,
Arab World,ARB,BAR.PRM.SCHL.75UP.FE,
Arab World,ARB,BAR.PRM.SCHL.75UP,
Arab World,ARB,BAR.SEC.SCHL.15UP.FE,
Arab World,ARB,BAR.SEC.SCHL.15UP,
Arab World,ARB,BAR.SEC.SCHL.1519.FE,
Arab World,ARB,BAR.SEC.SCHL.1519,
Arab World,ARB,BAR.SEC.SCHL.2024.FE,
Arab World,ARB,BAR.SEC.SCHL.2024,
Arab World,ARB,BAR.SEC.SCHL.25UP.FE,
Arab World,ARB,BAR.SEC.SCHL.25UP,
Arab World,ARB,BAR.SEC.SCHL.2529.FE,
Arab World,ARB,BAR.SEC.SCHL.2529,
Arab World,ARB,BAR.SEC.SCHL.3034.FE,
Arab World,ARB,BAR.SEC.SCHL.3034,
Arab World,ARB,BAR.SEC.SCHL.3539.FE,
Arab World,ARB,BAR.SEC.SCHL.3539,
